Message.Text,id
"Okay, your purchase of 2 tickets for Zoolander 2 is confirmed.",0
"Hi! are there any good foreign movies showing around Houma, Louisiana this week?",1
What date would you like me to look for a reservation?,2
Is there something that's maybe a good intelligent comedy?,3
I guess I'll have to. Any night showing will be fine.,4
740 for 4 would be great,5
I have purchased your tickets for you. Thank you.,6
Show me restaurants near the space needle that I can bring my cat to.,7
show me theaters near the space needle that i can order beer in,8
Hi! I'm looking for good thriller. Are there any playing right now?,9
Do you have a time range in mind?,10
The Witch will be fine.,11
That'll be fine. We'll movie before dinner.,12
"Hello there, are you interested in purchasing movie tickets?",13
"Yes, I am. Can you tell me what's playing tomorrow night around 8PM in Seattle?",14
Let's do two tickets to the 9:20 at Regal Meridian 16 please,15
I have successfully purchased your tickets. Enjoy the show!,16
Find me a good action movie this weekend,17
London Has Fallen is currently the number 1 action movie in America.,18
Which theater in Seattle should I search for tickets at?,19
Around what time do you want to go? And on which day?,20
9:30 pm any day this week,21
yes that would be great,22
Excellent. How many tickets would you like?,23
"Okay, your purchase of 2 tickets for Deadpool is confirmed.",24
hi! Are there any scary movies playing right now?,25
What City and State would you like me to look?,26
"Here are the movies I found: THE OTHER SIDE OF THE DOOR, THE WITCH.",27
How many tickets would you like?,28
Hi - would you like to purchase some movie tickets?,29
Yes please! Nine tickets please.,30
"I have purchased your tickets for you, thank you.",31
"Is there anywhere to watch Star Wars near Du Quoin, Illinois?",32
"Yes, do you have a date in mind?",33
"I'm looking for 5 tickets, and anytime after 6pm for a start is fine.",34
What is 10 Cloverfield Lane?,35
"Oh, that actually sounds good. can you book that for me?",36
Perfect. Thank you so much.,37
"Hi, do you have a question about booking movie tickets?",38
Yes I'm looking for an action movie.,39
What is the rating for Deadpool?,40
Is there a lot of violence in the movie?,41
"Yes, it is quite violent.",42
Who is the star of the movie?,43
Ryan Reynolds is the star of Deadpool.,44
I need four tickets for Creed around noon tomorrow at Regency Academy 6 Theater,45
Great your ticket is booked!,46
what is the best restaurant in Seattle,47
This system is for buying movie tickets.,48
Thank you for using our system,49
"Hi, would you like to purchase movie tickets?",50
"Yes, I would. Can you tell me what movies are playing in Seattle tonight?",51
How about the Regal Meridian 16? What movies are playing there tonight?,52
Can I get three tickets to the latest showing of Zoolander 2?,53
"I have booked your tickets, thank you.",54
Hello! Would you like to purchase movie tickets?,55
What day would you like your tickets for?,56
How many tickets would you like?,57
Perfect. Thank you so much.,58
Ill go with option two,59
"I have purchased your tickets for you, thank you.",60
Is this the movie assistant number?,61
This is a movie ticket booking service. Would you like to purchase tickets?,62
"Yes, please. Can you tell me when Zootopia is playing tonight around Seattle?",63
"Yes, the Regal Meridian has a 12:00, 1:10, 2:40 and 3:50 showing tomorrow.",64
"What movies will be starting this weekend in the theater in Bayou Vista, LA?",65
What is Gods of Egypt about?,66
Nah. How about Deadpool for Friday night?,67
Thursday night? Anytime for 2,68
Does Fairview Cinema work for you?,69
"Yeah, I'm pretty sure Fairview is all they have there.",70
I have purchased your tickets for Deadpool at 7PM on Thursday. Thank you.,71
